ID;Nome;Data_nascita;Luogo_nascita;Nazionalita;url
ASAMOAH;ASAMOAH Kwadwo;09/12/1988;Accra;Ghana;
ASLLANI;ASLLANI Kristjan;09/03/2002;Elbasan;Albania;https://img.a.transfermarkt.technology/portrait/header/543771-1644913890.jpg?lm=1
AUDERO;AUDERO Emil;18/01/1997;Mataram;Italia;https://img.a.transfermarkt.technology/portrait/header/256339-1595847976.jpg?lm=1
AUGELLO;AUGELLO Tommaso;30/08/1994;Milano;Italia;https://img.a.transfermarkt.technology/portrait/header/284595-1634292208.jpg?lm=1
AVOGADRI;AVOGADRI Lorenzo;21/08/2001;Bergamo;Italia;
AYE';AYE Florian;09/01/1997;Parigi;Francia;
AYHAN;AYHAN Kaan;10/11/1994;Gelsenkirchen;Turchia;
BABACAR;BABACAR El Khouma;17/03/1993;Thies;Senegal;
BADELJ;BADELJ Milan;25/02/1989;Zagabria;Croazia;
BADU;BADU Emmanuel;02/12/1990;Berekum;Ghana;
BAHLOULI;BAHLOULI Mohamed;17/02/2000;Lione;Francia;
BAJRAMI;BAJRAMI Nedim;28/02/1999;Zurigo;Albania;https://img.a.transfermarkt.technology/portrait/header/390177-1661510744.jpg?lm=1
BAKAYOKO;BAKAYOKO Tiemouè;17/08/1994;Parigi;Francia;https://img.a.transfermarkt.technology/portrait/header/182618-1661350547.jpg?lm=1
BALDANZI;BALDANZI Tommaso;23/03/2003;Poggibonsi;Italia;https://img.a.transfermarkt.technology/portrait/header/641537-1661764089.jpg?lm=1
BALOTELLI;BALOTELLI Mario;12/08/1990;Palermo;Italia;
BANDINELLI;BANDINELLI Filippo;29/03/1995;Firenze;Italia;https://img.a.transfermarkt.technology/portrait/header/240934-1661515180.jpg?lm=1
BANI;BANI Mattia;10/12/1993;Borgo San Lorenzo;Italia;
BARAK;BARAK Antonin;03/12/1994;Pribram;Repubblica Ceca;https://img.a.transfermarkt.technology/portrait/header/272261-1630660621.jpg?lm=1
BARBERIS;BARBERIS Andrea;11/12/1993;Finale Ligure;Italia;https://img.a.transfermarkt.technology/portrait/header/146680-1632547221.jpg?lm=1
BARELLA;BARELLA Nicolo;07/02/1997;Cagliari;Italia;https://img.a.transfermarkt.technology/portrait/header/255942-1661353022.jpg?lm=1
BARILLA';BARILLA Antonino;01/04/1988;Reggio Calabria;Italia;
BARRECA;BARRECA Antonio;18/03/1995;Torino;Italia;
BARRETO;BARRETO Edgar;15/07/1984;Asuncion;Paraguay;
BARROW;BARROW Musa;14/11/1998;Banjul;Gambia;https://img.a.transfermarkt.technology/portrait/header/486624-1596540455.jpg?lm=1
BARTOLOMEI;BARTOLOMEI Paolo;22/08/1989;Lucca;Italia;
BASCHIROTTO;BASCHIROTTO Federico;20/09/1996;Isola della Scala;Italia;https://img.a.transfermarkt.technology/portrait/header/351955-1657630979.jpg?lm=1
BASELLI;BASELLI Daniele;12/03/1992;Manerbio;Italia;
BASIC;BASIC Toma;25/11/1996;Zagabria;Croazia;https://img.a.transfermarkt.technology/portrait/header/334835-1630500128.jpg?lm=1
BASTONI;BASTONI Alessandro;13/04/1999;Casalmaggiore;Italia;https://img.a.transfermarkt.technology/portrait/header/315853-1630304611.jpg?lm=1
BASTONI S.;BASTONI Simone;05/11/1996;La Spezia;Italia;https://img.a.transfermarkt.technology/portrait/header/257751-1602505601.jpg?lm=1
BASTOS;BASTOS;27/03/1991;Luanda;Angola;
BAYEYE;BAYEYE Brian;30/06/2000;Parigi;Francia;https://img.a.transfermarkt.technology/portrait/header/715470-1660115930.jpg?lm=1
BEGOVIC;BEGOVIC Asmir;20/06/1987;Trebigne;Bosnia;
BELEC;BELEC Vid;06/06/1990;Maribor;Slovenia;
BELOTTI;BELOTTI Andrea;20/12/1993;Calcinate;Italia;https://img.a.transfermarkt.technology/portrait/header/167727-1596180996.jpg?lm=1
BENALI;BENALI Ahmad;07/02/1992;Manchester;Libia;
BENASSI;BENASSI Marco;08/09/1994;Modena;Italia;
BENNACER;BENNACER Ismael;01/12/1997;Arles;Algeria;https://img.a.transfermarkt.technology/portrait/header/351816-1594276829.jpg?lm=1
BENTANCUR;BENTANCUR Rodrigo;25/06/1997;Nueva Helvecia;Uruguay;
BENZAR;BENZAR Romario;26/03/1992;Timisoara;Romania;
